model,step,seed,entropy_bits
GPT 4.1,1,1,4.644
GPT 4.1,1,2,4.644
GPT 4.1,1,3,4.644
GPT 4.1,1,4,4.644
GPT 4.1,1,5,4.644
GPT 4.1,1,6,4.644
GPT 4.1,1,7,4.644
GPT 4.1,1,8,4.644
GPT 4.1,1,9,4.644
GPT 4.1,1,10,4.644
GPT 4.1,2,1,4.307
GPT 4.1,2,2,4.377
GPT 4.1,2,3,4.309
GPT 4.1,2,4,4.213
GPT 4.1,2,5,4.287
GPT 4.1,2,6,4.198
GPT 4.1,2,7,4.058
GPT 4.1,2,8,4.501
GPT 4.1,2,9,4.207
GPT 4.1,2,10,4.273
GPT 4.1,3,1,3.543
GPT 4.1,3,2,3.552
GPT 4.1,3,3,3.741
GPT 4.1,3,4,3.685
GPT 4.1,3,5,3.608
GPT 4.1,3,6,3.624
GPT 4.1,3,7,3.721
GPT 4.1,3,8,3.909
GPT 4.1,3,9,3.664
GPT 4.1,3,10,3.694
GPT 4.1,4,1,3.298
GPT 4.1,4,2,3.029
GPT 4.1,4,3,3.043
GPT 4.1,4,4,3.163
GPT 4.1,4,5,3.205
GPT 4.1,4,6,3.03
GPT 4.1,4,7,3.186
GPT 4.1,4,8,3.325
GPT 4.1,4,9,3.187
GPT 4.1,4,10,3.201
GPT 4.1,5,1,2.577
GPT 4.1,5,2,2.444
GPT 4.1,5,3,2.718
GPT 4.1,5,4,2.568
GPT 4.1,5,5,2.509
GPT 4.1,5,6,2.483
GPT 4.1,5,7,2.495
GPT 4.1,5,8,2.501
GPT 4.1,5,9,2.678
GPT 4.1,5,10,2.558
GPT 4.1,6,1,1.578
GPT 4.1,6,2,1.637
GPT 4.1,6,3,1.555
GPT 4.1,6,4,1.527
GPT 4.1,6,5,1.442
GPT 4.1,6,6,1.496
GPT 4.1,6,7,1.533
GPT 4.1,6,8,1.644
GPT 4.1,6,9,1.466
GPT 4.1,6,10,1.435
GPT 4.1,7,1,1.057
GPT 4.1,7,2,1.009
GPT 4.1,7,3,1.026
GPT 4.1,7,4,0.964
GPT 4.1,7,5,1.01
GPT 4.1,7,6,1.027
GPT 4.1,7,7,1.033
GPT 4.1,7,8,0.946
GPT 4.1,7,9,1.015
GPT 4.1,7,10,1.01
Gemini 2.0 Flash,1,1,4.644
Gemini 2.0 Flash,1,2,4.644
Gemini 2.0 Flash,1,3,4.644
Gemini 2.0 Flash,1,4,4.644
Gemini 2.0 Flash,1,5,4.644
Gemini 2.0 Flash,1,6,4.644
Gemini 2.0 Flash,1,7,4.644
Gemini 2.0 Flash,1,8,4.644
Gemini 2.0 Flash,1,9,4.644
