model,step,seed,entropy_bits
GPT 4.1,1,1,4.644
GPT 4.1,1,2,4.644
GPT 4.1,1,3,4.644
GPT 4.1,1,4,4.644
GPT 4.1,1,5,4.644
GPT 4.1,1,6,4.644
GPT 4.1,1,7,4.644
GPT 4.1,1,8,4.644
GPT 4.1,1,9,4.644
GPT 4.1,1,10,4.644
GPT 4.1,2,1,4.317
GPT 4.1,2,2,4.429
GPT 4.1,2,3,4.235
GPT 4.1,2,4,4.37
GPT 4.1,2,5,4.197
GPT 4.1,2,6,4.472
GPT 4.1,2,7,4.534
GPT 4.1,2,8,4.176
GPT 4.1,2,9,4.214
GPT 4.1,2,10,4.217
GPT 4.1,3,1,3.435
GPT 4.1,3,2,4.009
GPT 4.1,3,3,3.758
GPT 4.1,3,4,3.451
GPT 4.1,3,5,3.604
GPT 4.1,3,6,3.505
GPT 4.1,3,7,3.528
GPT 4.1,3,8,3.201
GPT 4.1,3,9,3.765
GPT 4.1,3,10,3.552
GPT 4.1,4,1,2.56
GPT 4.1,4,2,2.925
GPT 4.1,4,3,2.932
GPT 4.1,4,4,2.885
GPT 4.1,4,5,2.759
GPT 4.1,4,6,2.928
GPT 4.1,4,7,2.846
GPT 4.1,4,8,2.358
GPT 4.1,4,9,2.655
GPT 4.1,4,10,2.673
GPT 4.1,5,1,1.968
GPT 4.1,5,2,2.0
GPT 4.1,5,3,2.351
GPT 4.1,5,4,2.254
GPT 4.1,5,5,2.102
GPT 4.1,5,6,2.457
GPT 4.1,5,7,1.923
GPT 4.1,5,8,2.155
GPT 4.1,5,9,2.245
GPT 4.1,5,10,2.318
GPT 4.1,6,1,1.931
GPT 4.1,6,2,2.052
GPT 4.1,6,3,1.964
GPT 4.1,6,4,1.94
GPT 4.1,6,5,2.089
GPT 4.1,6,6,1.84
GPT 4.1,6,7,1.656
GPT 4.1,6,8,1.844
GPT 4.1,6,9,1.993
GPT 4.1,6,10,1.857
GPT 4.1,7,1,1.196
GPT 4.1,7,2,0.929
GPT 4.1,7,3,1.058
GPT 4.1,7,4,1.056
GPT 4.1,7,5,1.164
GPT 4.1,7,6,0.996
GPT 4.1,7,7,0.896
GPT 4.1,7,8,0.918
GPT 4.1,7,9,0.949
GPT 4.1,7,10,0.962
GPT 4.1,8,1,0.0
GPT 4.1,8,2,0.0
GPT 4.1,8,3,0.0
GPT 4.1,8,4,0.0
GPT 4.1,8,5,0.0
GPT 4.1,8,6,0.0
GPT 4.1,8,7,0.0
GPT 4.1,8,8,0.028
GPT 4.1,8,9,0.0
GPT 4.1,8,10,0.063
Gemini 2.0 Flash,1,1,4.644
Gemini 2.0 Flash,1,2,4.644
