model,step,seed,entropy_bits
GPT 4.1,1,1,4.644
GPT 4.1,1,2,4.644
GPT 4.1,1,3,4.644
GPT 4.1,1,4,4.644
GPT 4.1,1,5,4.644
GPT 4.1,1,6,4.644
GPT 4.1,1,7,4.644
GPT 4.1,1,8,4.644
GPT 4.1,1,9,4.644
GPT 4.1,1,10,4.644
GPT 4.1,2,1,3.931
GPT 4.1,2,2,3.755
GPT 4.1,2,3,3.967
GPT 4.1,2,4,3.871
GPT 4.1,2,5,3.817
GPT 4.1,2,6,3.919
GPT 4.1,2,7,3.63
GPT 4.1,2,8,3.859
GPT 4.1,2,9,3.936
GPT 4.1,2,10,3.981
GPT 4.1,3,1,3.014
GPT 4.1,3,2,2.983
GPT 4.1,3,3,3.108
GPT 4.1,3,4,3.109
GPT 4.1,3,5,3.002
GPT 4.1,3,6,3.129
GPT 4.1,3,7,3.068
GPT 4.1,3,8,3.278
GPT 4.1,3,9,2.996
GPT 4.1,3,10,2.955
GPT 4.1,4,1,2.026
GPT 4.1,4,2,2.533
GPT 4.1,4,3,2.318
GPT 4.1,4,4,2.535
GPT 4.1,4,5,2.48
GPT 4.1,4,6,2.542
GPT 4.1,4,7,2.289
GPT 4.1,4,8,2.542
GPT 4.1,4,9,2.334
GPT 4.1,4,10,2.539
GPT 4.1,5,1,1.857
GPT 4.1,5,2,1.939
GPT 4.1,5,3,1.578
GPT 4.1,5,4,1.766
GPT 4.1,5,5,1.844
GPT 4.1,5,6,1.511
GPT 4.1,5,7,1.654
GPT 4.1,5,8,1.763
GPT 4.1,5,9,1.481
GPT 4.1,5,10,1.524
GPT 4.1,6,1,0.833
GPT 4.1,6,2,1.133
GPT 4.1,6,3,1.244
GPT 4.1,6,4,0.97
GPT 4.1,6,5,1.183
GPT 4.1,6,6,0.943
GPT 4.1,6,7,1.015
GPT 4.1,6,8,1.118
GPT 4.1,6,9,1.127
GPT 4.1,6,10,1.265
GPT 4.1,7,1,0.327
GPT 4.1,7,2,0.602
GPT 4.1,7,3,0.513
GPT 4.1,7,4,0.574
GPT 4.1,7,5,0.473
GPT 4.1,7,6,0.38
GPT 4.1,7,7,0.574
GPT 4.1,7,8,0.544
GPT 4.1,7,9,0.529
GPT 4.1,7,10,0.38
GPT 4.1,8,1,0.005
GPT 4.1,8,2,0.004
GPT 4.1,8,3,0.063
GPT 4.1,8,4,0.009
GPT 4.1,8,5,0.0
GPT 4.1,8,6,0.0
GPT 4.1,8,7,0.01
GPT 4.1,8,8,0.0
GPT 4.1,8,9,0.023
GPT 4.1,8,10,0.0
Gemini 2.0 Flash,1,1,4.644
Gemini 2.0 Flash,1,2,4.644
